"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"2",8,4.30426692962646,5.11975526809692,5.04658937454224,4.71238899230957,4.47252702713013,4.4610071182251,4.74003887176514,4.71238899230957,5.08833360671997,5.20546388626099,4.71238899230957,4.28542041778564,3.91485786437988,5.01773357391357,4.95091962814331,5.47376394271851,5.49778699874878,5.1107497215271,8
"3",8,4.42044305801392,4.83293294906616,4.71238899230957,4.33922147750854,5.10734176635742,4.8121337890625,4.71238899230957,4.5204701423645,4.90268850326538,4.71238899230957,4.18129444122314,3.92699074745178,5.06202936172485,4.80059909820557,5.07963705062866,5.35902976989746,5.08113527297974,4.71238899230957,8
"4",8,4.8755316734314,4.71238899230957,4.38380765914917,4.38815021514893,4.75783681869507,4.71238899230957,5.02214336395264,4.96207332611084,4.71238899230957,4.3319296836853,3.92699074745178,4.95395469665527,4.83778190612793,5.20979833602905,5.33598184585571,4.97669744491577,4.71238899230957,4.54166793823242,8
"5",8,4.71238899230957,4.56415939331055,4.59885501861572,4.71238899230957,4.56817960739136,4.27016878128052,5.10878753662109,4.71238899230957,4.61141967773438,4.2080864906311,4.61122035980225,4.66469049453735,5.02976179122925,5.44589138031006,5.12907695770264,4.76978492736816,4.84531593322754,4.90302419662476,8
"6",8,4.20514106750488,5.25821018218994,4.77189445495605,4.71238899230957,4.3550443649292,4.60269260406494,4.71238899230957,4.40768718719482,5.14904308319092,4.84180545806885,4.71238899230957,4.44299745559692,5.08097505569458,5.0180196762085,4.94108772277832,5.38260126113892,5.16212034225464,4.71238899230957,8
"7",8,4.21934747695923,5.00525236129761,4.73453140258789,4.87939834594727,4.73330163955688,4.71238899230957,4.15851449966431,3.93961668014526,5.12099695205688,4.74494981765747,4.76496744155884,4.9045352935791,4.71238899230957,4.68840217590332,5.34112167358398,5.49778699874878,5.00076627731323,4.71238899230957,8
"8",8,4.65649700164795,4.68846940994263,5.40940999984741,5.12249517440796,4.71238899230957,4.35470247268677,4.02804517745972,4.57597017288208,4.73418951034546,5.13054656982422,5.21644353866577,4.71238899230957,4.71046543121338,4.14309310913086,5.19492769241333,5.0761456489563,5.23996067047119,5.43022584915161,8
"9",8,4.52754354476929,5.10263872146606,5.16717863082886,4.71238899230957,4.60199213027954,4.17073822021484,4.67309617996216,4.66935300827026,4.41600275039673,5.2171835899353,4.84109306335449,4.71238899230957,4.10250091552734,4.92565202713013,4.735426902771,4.9668984413147,5.49778699874878,5.18097019195557,8
"10",8,5.14820098876953,5.04262161254883,4.71238899230957,4.49735116958618,4.06989812850952,4.82943439483643,4.71238899230957,4.47130060195923,4.99867391586304,4.71238899230957,4.64545965194702,3.92699074745178,5.17528104782104,4.71374797821045,4.8218150138855,5.38858509063721,5.08314990997314,4.71238899230957,8
"11",8,5.31198072433472,4.72190999984741,4.71238899230957,4.30223321914673,4.68550777435303,4.66534757614136,4.28871440887451,5.21173620223999,4.71238899230957,4.66317844390869,3.92699074745178,4.14310455322266,4.71238899230957,5.27306699752808,5.49778699874878,5.15898609161377,4.71238899230957,4.26897621154785,8
"12",8,4.94887781143188,4.82648038864136,5.03575992584229,4.71238899230957,4.62874603271484,4.03921413421631,5.19944047927856,4.81409025192261,4.71238899230957,3.92699074745178,4.37143707275391,4.47912454605103,3.92699074745178,5.49778699874878,5.47323846817017,4.89785766601562,4.75759315490723,4.93831586837769,8
"13",8,4.86212062835693,5.49778699874878,5.0496654510498,4.71238899230957,4.33736085891724,4.43615484237671,4.70728302001953,4.25959348678589,3.92699074745178,4.98152303695679,4.71238899230957,4.05153751373291,4.09300518035889,5.10923528671265,6.06622648239136,5.49778699874878,5.49778699874878,4.74233484268188,8
"14",8,5.15383672714233,5.13035869598389,4.79327535629272,4.92836713790894,4.82418775558472,4.71238899230957,4.137939453125,3.92699074745178,3.61907768249512,4.71238899230957,4.32258319854736,5.12776470184326,4.77427387237549,4.71238899230957,4.14064979553223,5.49778699874878,5.27870273590088,4.72305011749268,8
"15",8,4.77988004684448,4.71238899230957,5.21908187866211,5.30797863006592,4.71238899230957,4.3826904296875,3.92699074745178,3.55595541000366,4.35397911071777,3.92699074745178,5.49778699874878,5.01103687286377,4.71238899230957,4.28276968002319,5.13921070098877,5.02438306808472,5.0944185256958,5.49778699874878,8
"16",8,4.71238899230957,4.38971424102783,5.11342763900757,4.71238899230957,4.44627285003662,3.92699074745178,3.2484827041626,4.39179372787476,3.93835997581482,5.31935882568359,5.06515455245972,4.71238899230957,4.49337673187256,5.06380176544189,4.7597131729126,4.71238899230957,5.41406440734863,5.28468751907349,8
"17",8,5.12489891052246,5.11825656890869,4.71238899230957,4.42329025268555,3.92699074745178,3.36588644981384,4.40008878707886,3.93097329139709,5.15582227706909,4.8704662322998,4.71238899230957,4.28896570205688,5.2265191078186,4.84438705444336,4.71238899230957,5.20987558364868,5.0616135597229,4.71238899230957,8
